"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2024","1.71","1.75","1.82","1.69","2.33K","-2.06%"
"03/11/2024","1.75","1.83","1.84","1.72","0.07K","-4.85%"
"03/10/2024","1.84","1.84","1.84","1.82","0.15K","1.33%"
"03/09/2024","1.81","1.81","1.81","1.81","","0.33%"
"03/08/2024","1.80","1.80","1.84","1.76","1.71K","-0.72%"
"03/07/2024","1.82","1.92","1.95","1.78","0.07K","-5.75%"
"03/06/2024","1.93","1.95","1.98","1.92","0.03K","-1.43%"
"03/05/2024","1.96","1.93","2.01","1.89","0.04K","2.14%"
"03/04/2024","1.92","1.87","1.99","1.84","0.03K","1.00%"
"03/03/2024","1.90","1.83","1.91","1.83","0.25K","3.38%"
"03/01/2024","1.84","1.85","1.89","1.81","1.54K","-1.34%"
"02/29/2024","1.86","1.87","1.92","1.83","0.02K","-1.33%"
"02/28/2024","1.88","1.82","1.90","1.78","0.03K","4.26%"
"02/27/2024","1.81","1.76","1.84","1.71","0.05K","8.98%"
"02/26/2024","1.66","1.62","1.73","1.61","0.04K","-2.01%"
"02/25/2024","1.69","1.58","1.70","1.58","0.14K","7.49%"
"02/24/2024","1.58","1.58","1.58","1.58","","-1.75%"
"02/23/2024","1.60","1.71","1.72","1.58","1.11K","-7.45%"
"02/22/2024","1.73","1.79","1.79","1.66","0.02K","-2.31%"
"02/21/2024","1.77","1.71","1.79","1.68","0.04K","12.50%"
"02/20/2024","1.58","1.55","1.71","1.51","4.98K","1.55%"
"02/19/2024","1.55","1.56","1.58","1.54","1.08K","0.00%"
"02/18/2024","1.55","1.60","1.60","1.51","0.24K","-3.12%"
"02/17/2024","1.60","1.60","1.60","1.60","","-0.37%"
"02/16/2024","1.61","1.58","1.64","1.57","2.28K","1.77%"
"02/15/2024","1.58","1.61","1.67","1.57","0.03K","-1.74%"
"02/14/2024","1.61","1.71","1.71","1.59","0.05K","-4.74%"
"02/13/2024","1.69","1.75","1.79","1.65","0.03K","-4.47%"
"02/12/2024","1.77","1.85","1.86","1.73","0.05K","-2.05%"
"02/11/2024","1.80","1.86","1.86","1.77","0.26K","-2.27%"
"02/09/2024","1.85","1.88","1.88","1.82","3.01K","-3.65%"
"02/08/2024","1.92","1.97","1.99","1.87","0.05K","-2.54%"
"02/07/2024","1.97","2.01","2.04","1.96","0.02K","-2.09%"
"02/06/2024","2.01","2.09","2.10","2.00","2.19K","-3.51%"
"02/05/2024","2.08","2.10","2.12","2.04","0.03K","-1.84%"
"02/04/2024","2.12","2.09","2.12","2.09","0.09K","1.73%"
"02/03/2024","2.09","2.09","2.09","2.09","","0.29%"
"02/02/2024","2.08","2.08","2.10","2.02","1.59K","1.41%"
"02/01/2024","2.05","2.15","2.17","2.03","0.04K","-2.38%"
"01/31/2024","2.10","2.12","2.16","2.04","0.03K","1.11%"
"01/30/2024","2.08","2.06","2.12","2.05","0.03K","1.12%"
"01/29/2024","2.05","2.18","2.18","2.05","0.03K","-4.11%"
"01/28/2024","2.14","2.18","2.18","2.13","0.16K","-1.56%"
"01/27/2024","2.18","2.18","2.18","2.18","","0.00%"
"01/26/2024","2.18","2.56","2.65","2.18","5.38K","-15.36%"
"01/25/2024","2.57","2.68","2.88","2.53","0.00K","-2.65%"
"01/24/2024","2.64","2.50","2.69","2.49","0.00K","7.80%"
"01/23/2024","2.45","2.49","2.49","2.32","0.06K","1.28%"
"01/22/2024","2.42","2.51","2.51","2.30","0.07K","3.86%"
"01/21/2024","2.33","2.52","2.52","2.31","0.41K","-7.40%"
"01/20/2024","2.52","2.52","2.52","2.52","","0.00%"
"01/19/2024","2.52","2.71","2.71","2.52","2.87K","-6.75%"
"01/18/2024","2.70","2.91","2.96","2.66","0.05K","-6.03%"
"01/17/2024","2.87","2.86","2.96","2.76","0.04K","-1.03%"
"01/16/2024","2.90","3.15","3.18","2.82","0.12K","-5.38%"
"01/15/2024","3.07","3.12","3.18","3.06","3.39K","-1.45%"
"01/14/2024","3.11","3.33","3.33","3.09","0.51K","-6.66%"
"01/13/2024","3.33","3.33","3.33","3.33","","0.00%"
"01/12/2024","3.33","3.15","3.38","3.10","9.80K","7.59%"
"01/11/2024","3.10","3.04","3.23","2.94","0.07K","1.91%"
"01/10/2024","3.04","3.16","3.22","2.96","0.06K","-4.73%"
"01/09/2024","3.19","2.93","3.39","2.88","0.10K","7.05%"
"01/08/2024","2.98","2.92","3.01","2.66","0.06K","2.97%"
"01/07/2024","2.89","2.90","3.00","2.88","0.26K","-0.38%"
"01/06/2024","2.90","2.90","2.90","2.90","","0.00%"
"01/05/2024","2.90","2.82","2.90","2.68","2.88K","2.98%"
"01/04/2024","2.82","2.69","2.86","2.69","0.04K","5.73%"
"01/03/2024","2.67","2.57","2.72","2.54","0.01K","3.89%"
"01/02/2024","2.57","2.53","2.68","2.53","0.02K","-3.82%"
"01/01/2024","2.67","2.53","2.67","2.53","0.29K","6.84%"
"12/31/2023","2.50","2.50","2.50","2.50","","0.00%"
"12/30/2023","2.50","2.50","2.50","2.50","","-0.60%"
"12/29/2023","2.51","2.54","2.56","2.49","1.41K","-1.68%"
"12/28/2023","2.56","2.46","2.57","2.40","0.01K","4.92%"
"12/27/2023","2.44","2.43","2.57","2.43","2.10K","-4.43%"
"12/26/2023","2.55","2.52","2.61","2.47","0.05K","0.63%"
"12/25/2023","2.53","2.52","2.55","2.52","0.02K","-3.21%"
"12/24/2023","2.62","2.62","2.62","2.62","","0.00%"
"12/23/2023","2.62","2.62","2.62","2.62","","0.31%"
"12/22/2023","2.61","2.58","2.62","2.53","0.69K","1.56%"
"12/21/2023","2.57","2.43","2.60","2.41","1.39K","4.90%"
"12/20/2023","2.45","2.57","2.58","2.41","1.75K","-1.61%"
"12/19/2023","2.49","2.51","2.56","2.39","1.85K","-0.40%"
"12/18/2023","2.50","2.52","2.59","2.49","1.54K","0.00%"
"12/17/2023","2.50","2.46","2.54","2.46","0.07K","1.58%"
"12/16/2023","2.46","2.46","2.46","2.46","","-1.12%"
"12/15/2023","2.49","2.42","2.54","2.38","2.61K","4.18%"
"12/14/2023","2.39","2.35","2.42","2.33","1.47K","2.58%"
"12/13/2023","2.33","2.27","2.38","2.23","2.33K","0.87%"
"12/12/2023","2.31","2.45","2.46","2.28","2.00K","-4.94%"
"12/11/2023","2.43","2.47","2.48","2.29","3.66K","-1.42%"
"12/10/2023","2.46","2.55","2.55","2.45","0.12K","-3.18%"
"12/09/2023","2.55","2.55","2.55","2.55","","-1.32%"
"12/08/2023","2.58","2.57","2.61","2.54","1.59K","0.00%"
"12/07/2023","2.58","2.57","2.64","2.49","2.36K","0.39%"
"12/06/2023","2.57","2.70","2.75","2.54","3.27K","-5.17%"
"12/05/2023","2.71","2.70","2.79","2.68","1.61K","0.74%"
"12/04/2023","2.69","2.73","2.75","2.65","1.71K","-4.27%"
"12/01/2023","2.81","2.82","2.84","2.75","1.80K","0.36%"
"11/30/2023","2.80","2.79","2.86","2.77","0.87K","0.00%"
"11/29/2023","2.80","2.81","2.87","2.76","0.98K","-1.41%"
"11/28/2023","2.84","2.95","2.99","2.79","0.82K","1.79%"
"11/27/2023","2.79","2.87","2.87","2.72","0.36K","-2.11%"
"11/24/2023","2.85","2.88","2.96","2.80","0.59K","-1.72%"
"11/22/2023","2.90","2.86","2.91","2.82","0.40K","1.75%"
"11/21/2023","2.85","2.90","2.92","2.84","0.78K","-1.04%"
"11/20/2023","2.88","3.03","3.03","2.87","1.17K","-2.70%"
"11/17/2023","2.96","3.06","3.10","2.89","2.29K","-3.27%"
"11/16/2023","3.06","3.14","3.26","3.04","3.48K","-4.08%"
"11/15/2023","3.19","3.09","3.27","3.07","1.52K","2.57%"
"11/14/2023","3.11","3.24","3.26","3.09","1.92K","-2.81%"
"11/13/2023","3.20","3.08","3.24","3.08","1.36K","5.61%"
"11/10/2023","3.03","3.03","3.08","2.99","0.76K","-0.33%"
"11/09/2023","3.04","3.12","3.16","3.03","5.80K","-2.25%"
"11/08/2023","3.11","3.17","3.19","3.06","6.75K","-0.96%"
"11/07/2023","3.14","3.26","3.29","3.10","8.33K","-3.68%"
"11/06/2023","3.26","3.38","3.40","3.25","21.28K","-7.39%"
